종목코드,종목명,시장구분,종가,시가총액,발행주식총수,corp_code,연도
009290,광동제약,KOSPI,5960.0,312428271960.0,52420851,00103592,2022
001820,삼화콘덴서,KOSPI,30000.0,311850000000.0,10395000,00129350,2022
017940,E1,KOSPI,45450.0,311787000000.0,6860000,00165583,2022
003570,SNT중공업,KOSPI,9340.0,310580189980.0,33252697,00134477,2022
013120,동원개발,KOSDAQ,3420.0,310563702000.0,90808100,00117966,2022
095610,테스,KOSDAQ GLOBAL,15700.0,310361148200.0,19768226,00524421,2022
030520,한글과컴퓨터,KOSDAQ,12300.0,310007109000.0,25203830,00204262,2022
000490,대동,KOSPI,12950.0,309923984300.0,23932354,00109286,2022
077970,STX엔진,KOSPI,13450.0,309469758800.0,23008904,00480455,2022
271980,제일약품,KOSPI,21000.0,308802312000.0,14704872,01236897,2022
281820,케이씨텍,KOSPI,14800.0,308751028800.0,20861556,01261893,2022
072710,농심홀딩스,KOSPI,66500.0,308413035000.0,4637790,00459871,2022
143240,사람인에이치알,KOSDAQ,26400.0,308200543200.0,11674263,00857480,2022
078070,유비쿼스홀딩스,KOSDAQ,16450.0,307559530600.0,18696628,00411385,2022
101160,월덱스,KOSDAQ,18600.0,307104469800.0,16510993,00580065,2022
009160,SIMPAC,KOSPI,4685.0,306537282460.0,65429516,00138260,2022
352480,씨앤씨인터내셔널,KOSDAQ,30400.0,304423806400.0,10013941,01226410,2022
002960,한국쉘석유,KOSPI,233500.0,303550000000.0,1300000,00158149,2022
000480,조선내화,KOSPI,75800.0,303200000000.0,4000000,00148984,2022
321550,티움바이오,KOSDAQ,12600.0,302626522800.0,24017978,01335930,2022
100120,뷰웍스,KOSDAQ,30150.0,301556229750.0,10001865,00609324,2022
088800,에이스테크,KOSDAQ,6690.0,300555428370.0,44926073,00556907,2022
058820,CMG제약,KOSDAQ,2150.0,298618324600.0,138892244,00380429,2022
018470,조일알미늄,KOSPI,2355.0,298217702955.0,126631721,00149239,2022
000050,경방,KOSPI,10800.0,296084916000.0,27415270,00101628,2022
036890,진성티이씨,KOSDAQ,13150.0,295641824200.0,22482268,00174208,2022
047920,HLB제약,KOSDAQ,10600.0,295434190000.0,27871150,00336817,2022
053690,한미글로벌,KOSPI,26900.0,294758095000.0,10957550,00413523,2022
005810,풍산홀딩스,KOSPI,28300.0,294589642400.0,10409528,00155531,2022
272550,삼양패키징,KOSPI,18650.0,294458714150.0,15788671,01060814,2022
340570,티앤엘,KOSDAQ,36200.0,294233600000.0,8128000,00608440,2022
389260,대명에너지,KOSDAQ,17300.0,294100000000.0,17000000,01150515,2022
075580,세진중공업,KOSPI,5150.0,292774698400.0,56849456,00415628,2022
237880,클리오,KOSDAQ,16200.0,292755918600.0,18071353,00957735,2022
024720,한국콜마홀딩스,KOSPI,15750.0,292583324250.0,18576719,00203290,2022
001510,SK증권,KOSPI,618.0,292060725678.0,472590171,00131850,2022
217330,싸이토젠,KOSDAQ,16200.0,289471125600.0,17868588,01046391,2022
071840,롯데하이마트,KOSPI,12250.0,289194472000.0,23607712,00158307,2022
